 F22S, F22R, F13S, F13R, F3S, F12S, F12R, F20S, F7S, F15S, F15R, F2S, F5S
0.9130434782608695,0.7464788732394366,0.7837837837837838,0.7611940298507462,0.640625,0.7924528301886793,0.7894736842105263,0.7466666666666667,0.9423076923076923,0.6619718309859155,0.8181818181818182,0.66,0.5357142857142857
0.782608695652174,0.6338028169014085,0.8513513513513513,0.9253731343283582,0.890625,0.8867924528301887,0.8245614035087719,0.8933333333333333,0.8846153846153846,0.8732394366197183,0.8787878787878788,0.66,0.7321428571428571
0.6086956521739131,0.5633802816901409,0.4189189189189189,0.6119402985074627,0.609375,0.2830188679245283,0.47368421052631576,0.6533333333333333,0.7115384615384616,0.7323943661971831,0.8939393939393939,0.6,0.8392857142857143
0.855072463768116,0.676056338028169,0.7297297297297297,0.7761194029850746,0.59375,0.7924528301886793,0.8245614035087719,0.8933333333333333,0.9038461538461539,0.9295774647887324,0.8636363636363636,0.88,0.6607142857142857
0.5362318840579711,0.5352112676056338,0.4189189189189189,0.43283582089552236,0.515625,0.7169811320754716,0.8070175438596491,0.7733333333333333,0.8269230769230769,0.5492957746478874,0.6818181818181818,0.64,0.8214285714285714
0.8840579710144928,0.704225352112676,0.7702702702702703,0.7910447761194029,0.765625,0.7358490566037735,0.8771929824561403,0.9466666666666667,0.7884615384615384,0.8591549295774648,0.7272727272727273,0.82,0.6964285714285714
0.7971014492753623,0.7323943661971831,0.6891891891891891,0.7910447761194029,0.71875,0.6981132075471698,0.7719298245614035,0.8266666666666667,1.0,0.8169014084507042,0.8333333333333334,0.82,0.8571428571428571
0.6956521739130435,0.5352112676056338,0.7972972972972973,0.8059701492537313,0.734375,0.5283018867924528,0.6666666666666666,0.6933333333333334,0.8269230769230769,0.7323943661971831,0.7727272727272727,0.56,0.8214285714285714
0.7536231884057971,0.676056338028169,0.5540540540540541,0.6119402985074627,0.65625,0.8679245283018868,0.9298245614035088,0.9733333333333334,0.7884615384615384,0.8169014084507042,0.8333333333333334,0.68,0.6071428571428571
0.6086956521739131,0.5915492957746479,0.40540540540540543,0.5970149253731343,0.5625,0.4716981132075472,0.5964912280701754,0.8133333333333334,0.5576923076923077,0.8169014084507042,0.6363636363636364,0.9,0.75
0.6521739130434783,0.6056338028169014,0.5135135135135135,0.6268656716417911,0.546875,0.5283018867924528,0.5087719298245614,0.9333333333333333,0.8076923076923077,0.8591549295774648,0.8333333333333334,0.56,0.8392857142857143
0.9130434782608695,0.7464788732394366,0.8648648648648649,0.8656716417910447,0.703125,0.7735849056603774,0.8596491228070176,0.7333333333333333,0.9230769230769231,0.8591549295774648,0.8636363636363636,0.86,0.8035714285714286
0.6376811594202898,0.5633802816901409,0.9459459459459459,0.8059701492537313,0.65625,0.8301886792452831,0.8421052631578947,0.7866666666666666,0.9038461538461539,0.704225352112676,0.8181818181818182,0.78,0.8571428571428571
0.8405797101449275,0.7605633802816901,0.6216216216216216,0.7014925373134329,0.546875,0.660377358490566,0.7894736842105263,0.8266666666666667,0.9807692307692307,0.7605633802816901,0.8181818181818182,0.64,0.8035714285714286
0.7971014492753623,0.704225352112676,0.8108108108108109,0.7761194029850746,0.6875,0.5660377358490566,0.5789473684210527,0.7466666666666667,0.8269230769230769,0.7746478873239436,0.803030303030303,0.8,0.8035714285714286
0.7536231884057971,0.7183098591549296,0.6621621621621622,0.7761194029850746,0.484375,0.5094339622641509,0.7192982456140351,0.72,0.6538461538461539,0.7464788732394366,0.8636363636363636,0.62,0.6071428571428571
0.34782608695652173,0.5633802816901409,0.32432432432432434,0.6865671641791045,0.328125,0.41509433962264153,0.8596491228070176,0.5066666666666667,0.5769230769230769,0.7323943661971831,0.696969696969697,0.64,0.5357142857142857
0.782608695652174,0.7464788732394366,0.6621621621621622,0.6716417910447762,0.578125,0.6792452830188679,0.7894736842105263,0.8133333333333334,0.9615384615384616,0.7464788732394366,0.803030303030303,0.76,0.5535714285714286
0.782608695652174,0.7183098591549296,0.8918918918918919,0.746268656716418,0.78125,0.5849056603773585,0.7719298245614035,0.8133333333333334,0.7115384615384616,0.7605633802816901,0.803030303030303,0.46,0.6607142857142857
0.8405797101449275,0.676056338028169,0.7837837837837838,0.7014925373134329,0.765625,0.8113207547169812,0.7543859649122807,0.8666666666666667,0.8461538461538461,0.8309859154929577,0.803030303030303,0.86,0.6964285714285714
0.8260869565217391,0.6619718309859155,0.9324324324324325,0.9701492537313433,0.515625,0.7547169811320755,0.7543859649122807,0.84,0.75,0.8450704225352113,0.8787878787878788,0.42,0.4642857142857143
0.8695652173913043,0.7605633802816901,0.7972972972972973,0.8208955223880597,0.65625,0.7169811320754716,0.7368421052631579,0.88,0.8846153846153846,0.5774647887323944,0.5454545454545454,0.56,0.6964285714285714
0.8405797101449275,0.7605633802816901,0.8513513513513513,0.8507462686567164,0.546875,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.5961538461538461,0.5070422535211268,0.5454545454545454,0.56,0.625
0.7681159420289855,0.4225352112676056,0.5405405405405406,0.16417910447761194,1.0,0.7547169811320755,0.6842105263157895,0.32,0.5961538461538461,0.18309859154929578,0.06060606060606061,0.48,0.14285714285714285
0.6956521739130435,0.4788732394366197,0.7297297297297297,0.6268656716417911,0.390625,0.7735849056603774,0.6666666666666666,0.64,0.38461538461538464,0.4788732394366197,0.6212121212121212,0.34,0.5892857142857143
0.7681159420289855,0.5915492957746479,0.6351351351351351,0.6567164179104478,0.515625,0.6792452830188679,0.7368421052631579,0.8133333333333334,0.9038461538461539,0.8873239436619719,0.8484848484848485,0.68,0.875
